participant_ID,Timestamp,Event,Stimulus,isTarget,isValidation,isRepeat,Button,Accuracy IR,Accuracy WR,Reaction_time_IR,Reaction_time_WR,CR_IR,CR_WR
354,1770563434932,Practice Sentence shown,HL_9_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
354,1770563437215,Practice IR pressed,HL_9_A,,,,Spacebar,0,N/A,2283,N/A,N/A,N/A
354,1770563449133,Practice Sentence shown,HL_35_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
354,1770563454653,Practice Sentence shown,HL_42_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
354,1770563460160,Practice Sentence shown,HH_109_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
354,1770563465670,Practice Sentence shown,HL_49_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
354,1770563471180,Practice Sentence shown,HL_24_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
354,1770563473387,Practice IR pressed,HL_24_A,,,,Spacebar,0,N/A,2206,N/A,N/A,N/A
354,1770563479947,Practice Sentence shown,HH_102_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
354,1770563485453,Practice Sentence shown,HH_109_A,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
354,1770563489457,Practice Missed,HH_109_A,true,,true,None,0,N/A,N/A,N/A,N/A,N/A
354,1770563500251,Practice Sentence shown,HL_48_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
354,1770563505759,Practice Sentence shown,HL_54_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
354,1770563506933,Practice IR pressed,HL_54_A,,,,Spacebar,0,N/A,1174,N/A,N/A,N/A
354,1770563510599,Practice Sentence shown,HL_50_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
354,1770563516106,Practice Sentence shown,HH_114_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
354,1770563521615,Practice Sentence shown,HH_102_P,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
354,1770563522865,Practice IR pressed,HH_102_P,true,,true,Spacebar,1,N/A,1250,N/A,N/A,N/A
354,1770563523594,Practice WR pressed,HH_102_P,true,,true,Yes,N/A,0,N/A,729,N/A,N/A
354,1770563534420,Practice Sentence shown,HH_121_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
354,1770563534639,Practice IR pressed,HH_121_A,true,,,Spacebar,0,N/A,218,N/A,N/A,N/A
354,1770563536912,Practice Sentence shown,HL_58_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
354,1770563542419,Practice Sentence shown,HH_100_A,true,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
354,1770563546057,Practice IR pressed,HH_100_A,true,,,Spacebar,0,N/A,3638,N/A,N/A,N/A
354,1770563551601,Practice Sentence shown,HL_5_A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
354,1770563553288,Practice IR pressed,HL_5_A,,,,Spacebar,0,N/A,1687,N/A,N/A,N/A
354,1770563558256,Practice Sentence shown,HH_114_P,true,,true,N/A,N/A,N/A,N/A,N/A,N/A,N/A
