"noun_condition","voice","metric","N","Mean","SD","Median","Min","Max","CI_lower","CI_upper"
"HH","Active","ir_cr",112,0.6826,0.1995,0.7292,0.0208,1,0.6481,0.7195
"HH","Active","ir_rt",112,1676.6452,362.5122,1675.375,896,3009,1610.9782,1744.2736
"HH","Active","wr_acc_score",112,0.7417,0.1993,0.75,0,1,0.7022,0.7786
"HH","Passive","ir_cr",112,0.6953,0.2198,0.75,-0.1406,0.9688,0.6556,0.7334
"HH","Passive","ir_rt",111,1776.6005,371.6632,1779,1051.8333,2755.3333,1705.4998,1844.2101
"HH","Passive","wr_acc_score",111,0.7523,0.2174,0.8,0.25,1,0.7144,0.7891
"HL","Active","ir_cr",112,0.6886,0.1947,0.7344,0.0208,0.9479,0.6532,0.7241
"HL","Active","ir_rt",112,1663.7237,413.7767,1627.25,784.5,2605,1588.1326,1739.5281
"HL","Active","wr_acc_score",112,0.7751,0.2076,0.8167,0,1,0.7359,0.8118
"HL","Passive","ir_cr",112,0.693,0.2064,0.7396,-0.0521,1,0.6521,0.729
"HL","Passive","ir_rt",111,1795.4841,452.6085,1738.2,916.8333,3834,1716.0412,1885.091
"HL","Passive","wr_acc_score",111,0.7197,0.2107,0.75,0,1,0.6797,0.7572
"LH","Active","ir_cr",112,0.6767,0.2022,0.7031,-0.0521,0.9792,0.6377,0.7113
"LH","Active","ir_rt",111,1670.8227,363.0593,1650.6,868.6667,2654.6667,1602.9486,1739.7861
"LH","Active","wr_acc_score",111,0.7685,0.1942,0.8,0.3333,1,0.7329,0.8038
"LH","Passive","ir_cr",112,0.6811,0.2163,0.7396,-0.0833,0.9583,0.641,0.7199
"LH","Passive","ir_rt",111,1670.1446,375.4603,1619,896.4,2963,1597.7201,1736.1632
"LH","Passive","wr_acc_score",111,0.7547,0.2112,0.8,0,1,0.7152,0.7913
"LL","Active","ir_cr",112,0.6253,0.2338,0.6406,-0.1406,1,0.5807,0.6671
"LL","Active","ir_rt",110,1717.1044,383.9796,1618.0833,827.3333,2978,1640.7222,1786.3118
"LL","Active","wr_acc_score",110,0.7436,0.2084,0.75,0.2,1,0.7035,0.7796
"LL","Passive","ir_cr",112,0.638,0.2147,0.6354,0.1042,1,0.5963,0.6753
"LL","Passive","ir_rt",112,1808.0671,410.7218,1749.25,854,2955.5,1735.6147,1882.6441
"LL","Passive","wr_acc_score",112,0.7173,0.232,0.75,0,1,0.6743,0.7601
