"participant_id","total_blocks","blocks_passed","all_pass"
232,3,3,TRUE
235,3,3,TRUE
236,3,3,TRUE
241,3,3,TRUE
242,3,3,TRUE
243,3,3,TRUE
245,3,2,FALSE
246,3,3,TRUE
247,3,3,TRUE
249,3,3,TRUE
251,3,3,TRUE
252,3,3,TRUE
253,3,3,TRUE
254,3,3,TRUE
256,3,3,TRUE
257,3,3,TRUE
258,3,2,FALSE
259,3,3,TRUE
260,3,3,TRUE
261,3,3,TRUE
262,3,3,TRUE
263,3,3,TRUE
264,3,3,TRUE
266,3,3,TRUE
267,3,3,TRUE
269,3,3,TRUE
270,3,3,TRUE
271,3,0,FALSE
273,3,3,TRUE
276,3,3,TRUE
277,3,3,TRUE
279,3,3,TRUE
280,3,3,TRUE
281,3,3,TRUE
282,3,3,TRUE
283,3,3,TRUE
285,3,3,TRUE
286,3,3,TRUE
289,3,3,TRUE
290,3,3,TRUE
292,3,3,TRUE
293,3,3,TRUE
294,3,2,FALSE
295,3,3,TRUE
296,3,3,TRUE
297,3,2,FALSE
298,3,3,TRUE
299,3,0,FALSE
302,3,3,TRUE
303,3,3,TRUE
304,3,3,TRUE
305,3,3,TRUE
307,3,3,TRUE
308,3,3,TRUE
309,3,3,TRUE
310,3,3,TRUE
311,3,3,TRUE
312,3,3,TRUE
313,3,3,TRUE
314,3,3,TRUE
316,3,3,TRUE
317,3,3,TRUE
318,3,3,TRUE
322,3,3,TRUE
323,3,3,TRUE
325,3,3,TRUE
326,3,3,TRUE
327,3,3,TRUE
328,3,3,TRUE
329,3,3,TRUE
330,3,3,TRUE
331,3,3,TRUE
333,3,3,TRUE
339,3,3,TRUE
340,3,3,TRUE
342,3,3,TRUE
343,3,3,TRUE
344,3,3,TRUE
346,3,2,FALSE
350,3,3,TRUE
351,3,3,TRUE
354,3,3,TRUE
355,3,3,TRUE
356,3,3,TRUE
361,3,3,TRUE
362,3,3,TRUE
363,3,3,TRUE
364,3,3,TRUE
366,3,3,TRUE
367,3,2,FALSE
368,3,3,TRUE
369,3,3,TRUE
370,3,3,TRUE
371,3,3,TRUE
372,3,3,TRUE
373,3,2,FALSE
374,3,3,TRUE
375,3,3,TRUE
377,3,3,TRUE
378,3,3,TRUE
379,3,3,TRUE
380,3,3,TRUE
381,3,3,TRUE
382,3,3,TRUE
383,3,3,TRUE
384,3,3,TRUE
386,3,3,TRUE
390,3,3,TRUE
391,3,3,TRUE
392,3,3,TRUE
395,3,3,TRUE
396,3,3,TRUE
397,3,3,TRUE
398,3,3,TRUE
