"bf","error","time","code","model","BF10","BF_relative"
27.5978218760048,5.14401842663596e-05,"Wed Apr 22 02:27:45 2026","1d34c25181078","mean_rt",967345806482.874,1
20.952994368541,4.9379635970262e-05,"Wed Apr 22 02:27:46 2026","1d34c797b4468","noun_LH + noun_HL + noun_HH + mean_rt",1258258386.1639,0.00130073276560607
9.57175300800318,6.65707514879316e-05,"Wed Apr 22 02:27:45 2026","1d34c2684c533","noun_HL + mean_rt",14353.5561813704,1.48380817750767e-08
9.17173732421879,3.61744399846397e-05,"Wed Apr 22 02:27:46 2026","1d34c4813f5dd","noun_LH + noun_HL + noun_HH + mean_rt + mean_trial_position",9621.32554029268,9.94610766471856e-09
8.7337763016205,1.85744852501964e-06,"Wed Apr 22 02:27:45 2026","1d34c595e4626","noun_HL + noun_HH + mean_rt",6209.13144750843,6.41872989565531e-09
7.88368728365487,6.85189660306506e-05,"Wed Apr 22 02:27:45 2026","1d34c17151294","mean_rt + mean_trial_position",2653.63926301451,2.74321679510117e-09
7.39395869457828,6.91681517207457e-05,"Wed Apr 22 02:27:45 2026","1d34c588160b6","noun_HH + mean_rt",1626.13074292515,1.68102319979814e-09
6.28814107765821,3.85480546907268e-05,"Wed Apr 22 02:27:46 2026","1d34c540158bf","noun_LH + noun_HL + noun_HH + voice_Passive + mean_rt",538.152015885642,5.56318135954176e-10
5.18907459226211,7.27974657221759e-05,"Wed Apr 22 02:27:45 2026","1d34c455bade2","voice_Passive + mean_rt",179.302548167135,1.85355171817049e-10
3.44815614856441,7.70752401427843e-05,"Wed Apr 22 02:27:45 2026","1d34c21697044","noun_LH + mean_rt",31.4423637796015,3.25037474384898e-11
3.19631045493018,5.31464940107051e-05,"Wed Apr 22 02:27:46 2026","1d34c30312a02","noun_HL + noun_HH + mean_rt + mean_trial_position",24.4421830936149,2.52672652631669e-11
3.09366032701762,8.12278697137205e-08,"Wed Apr 22 02:27:45 2026","1d34c10c7ef71","noun_HL + mean_rt + mean_trial_position",22.0576686722189,2.28022580181717e-11
2.90691293442475,1.4444763784822e-05,"Wed Apr 22 02:27:46 2026","1d34c7959cc4a","noun_LH + noun_HL + noun_HH + voice_Passive + mean_rt + mean_trial_position",18.3002173060562,1.8917968304006e-11
2.68929447921735,2.05600453438863e-07,"Wed Apr 22 02:27:46 2026","1d34c1c6fb43a","noun_HH + mean_rt + mean_trial_position",14.7212860824717,1.52182249448066e-11
2.40417900258508,5.35309111974234e-05,"Wed Apr 22 02:27:46 2026","1d34c43401a52","noun_HL + noun_HH + voice_Passive + mean_rt",11.0693386521764,1.14430006084617e-11
2.29395070959852,4.43065131081967e-07,"Wed Apr 22 02:27:45 2026","1d34c2858c41e","noun_LH + noun_HL + mean_rt",9.91402785838052,1.02486905840079e-11
2.26354681657111,4.6665344141958e-07,"Wed Apr 22 02:27:45 2026","1d34c7d5da86d","noun_HL + voice_Passive + mean_rt",9.61713897473983,9.94177977543142e-12
1.79932768756012,9.49469637860841e-07,"Wed Apr 22 02:27:46 2026","1d34c44eb564a","voice_Passive + mean_rt + mean_trial_position",6.04558157809188,6.24965915764158e-12
1.74905427435577,1.01856908606979e-06,"Wed Apr 22 02:27:45 2026","1d34c2381e606","noun_HH + voice_Passive + mean_rt",5.74916297332126,5.9432345028965e-12
1.66446548132243,1.14419318020327e-06,"Wed Apr 22 02:27:45 2026","1d34c3582e5d1","noun_LH + noun_HH + mean_rt",5.28284871363616,5.4611791132313e-12
1.27202667920222,1.92688998093971e-06,"Wed Apr 22 02:27:45 2026","1d34c47ca389","noun_LH + mean_rt + mean_trial_position",3.56807658610248,3.68852230731788e-12
0.952825007983461,5.35344122461997e-05,"Wed Apr 22 02:27:46 2026","1d34c4c909967","noun_HL + noun_HH + voice_Passive + mean_rt + mean_trial_position",2.59302463731708,2.6805560327438e-12
