FA Rate Summary
===============
 participant_id ir_fa_rate
            232 0.15625000
            235 0.22916667
            236 0.15625000
            241 0.21875000
            242 0.02083333
            243 0.07291667
            245 0.14062500
            246 0.06250000
            247 0.04166667
            249 0.23958333
            251 0.42708333
            252 0.10416667
            253 0.12500000
            254 0.31250000
            256 0.18750000
            257 0.14583333
            258 0.00000000
            259 0.29166667
            260 0.07291667
            261 0.26041667
            262 0.06250000
            263 0.17708333
            264 0.12500000
            266 0.12500000
            267 0.20833333
            269 0.03125000
            270 0.01041667
            273 0.06250000
            276 0.12500000
            277 0.21875000
            279 0.10416667
            280 0.08333333
            281 0.38541667
            282 0.25000000
            283 0.06250000
            285 0.06250000
            286 0.12500000
            289 0.09375000
            290 0.09375000
            292 0.39583333
            293 0.09375000
            294 0.25000000
            295 0.05208333
            296 0.12500000
            297 0.31250000
            298 0.09375000
            302 0.18750000
            303 0.05208333
            304 0.18750000
            305 0.14583333
            307 0.17708333
            308 0.31250000
            309 0.05208333
            310 0.10416667
            311 0.13541667
            312 0.15625000
            313 0.42708333
            314 0.14583333
            316 0.14583333
            317 0.23958333
            318 0.12500000
            322 0.23958333
            323 0.06250000
            325 0.11458333
            326 0.14583333
            327 0.11458333
            328 0.15625000
            329 0.08333333
            330 0.21875000
            331 0.06250000
            333 0.37500000
            339 0.32291667
            340 0.07291667
            342 0.42708333
            343 0.31250000
            344 0.06250000
            346 0.39062500
            350 0.08333333
            351 0.22916667
            354 0.10416667
            355 0.07291667
            356 0.13541667
            361 0.08333333
            362 0.11458333
            363 0.18750000
            364 0.03125000
            366 0.20833333
            367 0.40625000
            368 0.05208333
            369 0.11458333
            370 0.17708333
            371 0.08333333
            372 0.08333333
            373 0.39062500
            374 0.20833333
            375 0.09375000
            377 0.21875000
            378 0.10416667
            379 0.13541667
            380 0.05208333
            381 0.34375000
            382 0.13541667
            383 0.21875000
            384 0.09375000
            386 0.07291667
            390 0.15625000
            391 0.09375000
            392 0.23958333
            395 0.13541667
            396 0.05208333
            397 0.05208333
            398 0.16666667
